datetime, time (s), time (hms), active_status, active_dist (mi), active_time (s), pause_time (s), stride_pace (mi/min), step_rate (s/min), stride_length (ft), contact_time (ms), braking_gs, impact_gs, footstrike_type, max_pronation_vel, pronation_fs_mp, pronation_mp_to,stance_fs_mp, stance_mp_to 
datetime, , , , , , , power, cadence, , , , , , , , , , , 
2015-12-27 10:30:53.302, 53.302, 00:00:53.302, 1, 0.0927, 49.4, 0.0, 8.636, 155.642, 7.857, 312.0, 5.43, 14.039, 9.0, 609.009, -16.757, -9.1, 8.666, 75.289
2015-12-27 10:30:54.073, 54.073, 00:00:54.073, 1, 0.0941, 50.2, 0.0, 8.559, 158.94, 7.762, 317.0, 5.73, 9.895, 8.0, 522.156, -16.085, -9.253, 10.72, 77.18
2015-12-27 10:30:54.828, 54.828, 00:00:54.828, 1, 0.0956, 51.0, 0.0, 8.853, 156.863, 7.605, 317.0, 5.484, 11.613, 8.0, 495.972, -15.711, -8.585, 10.542, 77.98
2015-12-27 10:30:55.593, 55.593, 00:00:55.593, 1, 0.0970, 51.7, 0.0, 8.749, 156.863, 7.695, 317.0, 5.336, 12.246, 7.0, 519.897, -17.558, -8.162, 11.93, 76.201
2015-12-27 10:30:56.358, 56.358, 00:00:56.358, 1, 0.0985, 52.5, 0.0, 8.747, 157.895, 7.646, 312.0, 6.531, 11.434, 10.0, 637.939, -16.316, -10.935, 7.23, 77.004
2015-12-27 10:30:57.118, 57.118, 00:00:57.118, 1, 0.1000, 53.3, 0.0, 8.639, 151.707, 8.058, 332.0, 5.66, 13.512, 10.0, 679.749, -13.81, -10.777, 7.121, 76.289
2015-12-27 10:30:57.909, 57.909, 00:00:57.909, 1, 0.1015, 54.0, 0.0, 8.716, 158.94, 7.623, 307.0, 7.531, 11.77, 11.0, 783.997, -17.163, -11.011, 4.927, 76.986
2015-12-27 10:30:58.664, 58.664, 00:00:58.664, 1, 0.1029, 54.8, 0.0, 8.614, 160.0, 7.662, 307.0, 5.379, 13.25, 11.0, 598.816, -14.768, -8.071, 5.892, 76.478
2015-12-27 10:30:59.414, 59.414, 00:00:59.414, 1, 0.1044, 55.5, 0.0, 8.674, 156.863, 7.761, 317.0, 5.801, 8.445, 9.0, 590.82, -15.416, -9.783, 7.899, 76.91
2015-12-27 10:31:00.179, 60.179, 00:01:00.179, 1, 0.1058, 56.3, 0.0, 8.599, 158.94, 7.726, 333.0, 5.105, 12.719, 8.0, 534.546, -16.04, -9.993, 9.744, 77.621
2015-12-27 10:31:00.934, 60.934, 00:01:00.934, 1, 0.1073, 57.0, 0.0, 8.613, 160.0, 7.663, 317.0, 6.145, 6.844, 10.0, 649.78, -15.797, -10.272, 7.555, 78.936
2015-12-27 10:31:01.684, 61.684, 00:01:01.684, 1, 0.1087, 57.8, 0.0, 9.22, 154.639, 7.406, 337.0, 5.754, 11.078, 7.0, 538.635, -16.833, -10.227, 11.22, 75.207
2015-12-27 10:31:02.460, 62.46, 00:01:02.460, 1, 0.1101, 58.6, 0.0, 8.834, 157.895, 7.571, 327.0, 7.406, 8.922, 8.0, 569.214, -17.664, -8.77, 10.499, 73.968
2015-12-27 10:31:03.220, 63.22, 00:01:03.220, 1, 0.1116, 59.3, 0.0, 8.743, 158.94, 7.599, 337.0, 6.102, 8.055, 7.0, 482.117, -15.893, -9.327, 11.1, 74.868
2015-12-27 10:31:03.975, 63.975, 00:01:03.975, 1, 0.1130, 60.1, 0.0, 8.585, 160.0, 7.688, 327.0, 6.148, 15.793, 10.0, 605.713, -14.403, -9.833, 7.647, 78.893
2015-12-27 10:31:04.725, 64.725, 00:01:04.725, 1, 0.1145, 60.9, 0.0, 8.627, 156.863, 7.804, 327.0, 6.359, 8.254, 7.0, 430.908, -15.734, -9.609, 11.162, 75.685
2015-12-27 10:31:05.490, 65.49, 00:01:05.490, 1, 0.1160, 61.6, 0.0, 8.635, 160.0, 7.644, 347.0, 8.379, 13.809, 8.0, 482.544, -11.929, -11.409, 10.751, 79.642
2015-12-27 10:31:06.240, 66.24, 00:01:06.240, 1, 0.1174, 62.4, 0.0, 8.768, 154.839, 7.778, 343.0, 5.594, 13.578, 14.0, 606.567, -12.798, -10.093, 1.627, 79.357
2015-12-27 10:31:07.015, 67.015, 00:01:07.015, 1, 0.1188, 63.1, 0.0, 8.891, 158.94, 7.473, 328.0, 6.027, 8.926, 11.0, 609.619, -13.73, -8.588, 6.269, 76.968
2015-12-27 10:31:07.770, 67.77, 00:01:07.770, 1, 0.1202, 63.9, 0.0, 9.457, 155.642, 7.174, 347.0, 5.672, 10.48, 8.0, 423.157, -14.142, -8.598, 10.659, 74.18
2015-12-27 10:31:08.541, 68.541, 00:01:08.541, 1, 0.1217, 64.7, 0.0, 8.651, 157.895, 7.731, 342.0, 5.754, 15.051, 9.0, 516.418, -13.064, -10.369, 8.566, 78.526
2015-12-27 10:31:09.301, 69.301, 00:01:09.301, 1, 0.1231, 65.4, 0.0, 8.575, 162.162, 7.594, 317.0, 5.941, 14.379, 12.0, 603.638, -14.7, -9.611, 4.251, 77.656
2015-12-27 10:31:10.041, 70.041, 00:01:10.041, 1, 0.1246, 66.2, 0.0, 8.483, 160.0, 7.78, 327.0, 7.262, 11.387, 8.0, 498.413, -15.284, -10.193, 10.608, 78.018
2015-12-27 10:31:10.791, 70.791, 00:01:10.791, 1, 0.1260, 66.9, 0.0, 8.888, 160.0, 7.425, 327.0, 5.809, 11.047, 6.0, 519.653, -15.396, -6.93, 12.515, 77.955
2015-12-27 10:31:11.541, 71.541, 00:01:11.541, 1, 0.1274, 67.6, 0.0, 8.595, 162.162, 7.576, 317.0, 5.48, 10.563, 11.0, 588.135, -14.552, -8.073, 5.374, 80.196
2015-12-27 10:31:12.281, 72.281, 00:01:12.281, 1, 0.1288, 68.4, 0.0, 8.901, 160.0, 7.414, 332.0, 5.926, 9.98, 8.0, 490.54, -14.089, -10.432, 9.505, 78.881
2015-12-27 10:31:13.031, 73.031, 00:01:13.031, 1, 0.1302, 69.1, 0.0, 8.901, 158.94, 7.465, 332.0, 5.688, 14.691, 9.0, 440.918, -12.927, -8.433, 9.07, 78.816
2015-12-27 10:31:13.786, 73.786, 00:01:13.786, 1, 0.1317, 69.9, 0.0, 8.723, 158.94, 7.617, 327.0, 6.063, 7.574, 8.0, 498.84, -14.96, -8.475, 9.443, 77.759
2015-12-27 10:31:14.541, 74.541, 00:01:14.541, 1, 0.1331, 70.7, 0.0, 8.755, 157.895, 7.639, 317.0, 7.816, 7.637, 10.0, 580.139, -12.155, -9.505, 7.659, 76.718
2015-12-27 10:31:15.301, 75.301, 00:01:15.301, 1, 0.1346, 71.4, 0.0, 8.549, 162.162, 7.618, 317.0, 5.938, 9.023, 8.0, 521.179, -14.79, -7.92, 10.17, 77.267
2015-12-27 10:31:16.041, 76.041, 00:01:16.041, 1, 0.1361, 72.2, 0.0, 8.432, 160.0, 7.827, 333.0, 5.285, 9.453, 10.0, 588.562, -12.25, -13.033, 6.516, 81.641
2015-12-27 10:31:16.791, 76.791, 00:01:16.791, 1, 0.1375, 72.9, 0.0, 8.724, 154.839, 7.817, 323.0, 5.633, 10.563, 11.0, 614.441, -16.41, -6.415, 6.216, 76.839
2015-12-27 10:31:17.566, 77.566, 00:01:17.566, 1, 0.1389, 73.7, 0.0, 8.955, 156.658, 7.527, 348.0, 10.078, 14.711, 7.0, 502.258, -13.849, -10.76, 11.19, 78.415
2015-12-27 10:31:18.332, 78.332, 00:01:18.332, 1, 0.1404, 74.4, 0.0, 8.867, 160.0, 7.443, 322.0, 5.313, 12.293, 8.0, 523.621, -15.812, -8.518, 9.526, 75.522
2015-12-27 10:31:19.082, 79.082, 00:01:19.082, 1, 0.1418, 75.2, 0.0, 8.517, 161.074, 7.698, 322.0, 5.719, 7.41, 10.0, 668.091, -13.878, -10.633, 6.594, 77.337
